"filename", "language", "JavaScript", "Properties", "Markdown", "JSON", "PostCSS", "JavaScript React", "HTML", "XML", "comment", "blank", "total"
"e:\projects\redux\redux-chat-app\src\utils\axios.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\redux\redux-chat-app\src\utils\getPartnerInfo.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\projects\redux\redux-chat-app\src\utils\isValidEmail.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\projects\redux\redux-chat-app\src\utils\learnDebounce.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"e:\projects\redux\redux-chat-app\src\views\Conversation.jsx", "JavaScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"e:\projects\redux\redux-chat-app\src\views\Home.jsx", "JavaScript React", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"e:\projects\redux\redux-chat-app\src\views\Inbox.jsx", "JavaScript React", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"e:\projects\redux\redux-chat-app\src\views\Login.jsx", "JavaScript React", 0, 0, 0, 0, 0, 109, 0, 0, 1, 9, 119
"e:\projects\redux\redux-chat-app\src\views\NotFound.jsx", "JavaScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"e:\projects\redux\redux-chat-app\src\views\Register.jsx", "JavaScript React", 0, 0, 0, 0, 0, 180, 0, 0, 2, 13, 195
"e:\projects\redux\redux-chat-app\tailwind.config.cjs", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"e:\projects\redux\redux-chat-app\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 343, 3, 3, 65, 11, 921, 13, 171, 43, 189, 1762
